eventid,iyear,imonth,iday,extended,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,motive,guncertain1,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,ransom,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,date,month,day_of_week
197209200010,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Yosef Bar, a Ministry of Transportation employee, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,2,Government (General),18.0,"Government Personnel (excluding police, military)",Ministry of Transportation,Employee: Yosef Bar,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200011,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Yosef Weitz, a Jewish National Fund official, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,12,NGO,61.0,Domestic NGO,Jewish National Fund,Official: Yosef Weitz,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200012,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to Ya'acov Tsur, a Jewish National Fund official, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,12,NGO,61.0,Domestic NGO,Jewish National Fund,Official: Ya'acov Tsur,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200013,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to a public figure was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Unknown,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.",,UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209200014,1972,9,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/20/1972: A letter bomb addressed to a public figure was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,14,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Unknown,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.",,UMD Miscellaneous,1,1,0,1,1972-09-20,9.0,2.0
197209220003,1972,9,22,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/22/1972: A letter bomb addressed to Zalman Shoval, a Knesset member, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Knesset,Member: Zalman Shoval,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""More Letter Bombs Turn Up in Jerusalem; 5 Reach S. America,"" Los Angeles Times, September 22, 1972.","""Two more found in Jerusalem: 4 letter bombs sent to Amman,"" The Jerusalem Post, September 24, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-22,9.0,4.0
197209220004,1972,9,22,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,The incident occurred on Jaffa street.,"09/22/1972: A letter bomb addressed to Yehuda Sha'ari, the Tourism Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,,,1.0,0,0,1,Assassination,2,Government (General),15.0,Politician or Political Party Movement/Meeting/Rally,Ministry of Tourism,Deputy Minister: Yehuda Sha'ari,97.0,Israel,Black September,,0.0,0,-99.0,-99.0,1.0,5.0,Note left at scene,,6,Explosives,9.0,Letter Bomb,An explosives-laden letter was used.,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm,"""More Letter Bombs Turn Up in Jerusalem; 5 Reach S. America,"" Los Angeles Times, September 22, 1972.","""Two more found in Jerusalem: 4 letter bombs sent to Amman,"" The Jerusalem Post, September 24, 1972.",UMD Miscellaneous,1,1,0,1,1972-09-22,9.0,4.0
197312040002,1973,12,4,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,74.0,Marketplace/Plaza/Square,,Shopping Area,97.0,Israel,Palestinians,,0.0,0,1.0,,,,,,6,Explosives,7.0,Grenade,Explosive; Grenade,2.0,,,18.0,,,1,,,,,0.0,0.0,,,,,PGIS,1,0,0,1,1973-12-04,12.0,1.0
197402110001,1974,2,11,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,87.0,Affiliated Institution,,Office of the Baptist Home,217.0,United States,Jewish Defense League (JDL),,0.0,0,,,,,,,6,Explosives,16.0,Unknown Explosive Type,Explosive,0.0,0.0,,0.0,0.0,,1,,,,,0.0,0.0,,,,,PGIS,1,0,1,1,1974-02-11,2.0,0.0
197402110002,1974,2,11,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,1,Business,7.0,Retail/Grocery/Bakery,,Zion House Bible Shop,217.0,United States,Jewish Defense League (JDL),,0.0,0,,,,,,,6,Explosives,16.0,Unknown Explosive Type,Explosive,0.0,0.0,,0.0,0.0,,1,,,,,0.0,0.0,,,,,PGIS,1,0,1,1,1974-02-11,2.0,0.0
197402110003,1974,2,11,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,86.0,Place of Worship,Swedish Theological Seminary,Chapel,198.0,Sweden,Jewish Defense League (JDL),,0.0,0,,,,,,,6,Explosives,16.0,Unknown Explosive Type,Explosive,0.0,0.0,,0.0,0.0,,1,,,,,0.0,0.0,,,,,PGIS,1,1,1,1,1974-02-11,2.0,0.0
197404110001,1974,4,11,0,Northern,Qiryat Shemona,33.208509,35.570348,1.0,0,,,1,1,1,0,,,0.0,1,0,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,76.0,House/Apartment/Residence,,"city of Qiryat Shemona, apartment bldg.",97.0,Israel,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",,0.0,0,3.0,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,Automatic firearms; Explosive,21.0,,3.0,,,,1,3.0,Minor (likely < $1 million),60000.0,,1.0,0.0,,,,,PGIS,1,0,0,1,1974-04-11,4.0,3.0
197405180001,1974,5,18,0,Northern,Maalot,33.014797,35.275805,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,8,Educational Institution,49.0,School/University/Educational Building,,Maalot High School,97.0,Israel,Democratic Front for the Liberation of Palestine (DFLP),,0.0,0,3.0,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,Automatic firearm; Explosive,25.0,,,70.0,,,1,3.0,Minor (likely < $1 million),60000.0,,1.0,0.0,,,,,PGIS,1,0,0,1,1974-05-18,5.0,5.0
197406130002,1974,6,13,0,Northern,Shamir,33.166809,35.659965,1.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,,Shamir Settlement,97.0,Israel,Popular Front for the Liberation of Palestine (PFLP),,0.0,0,4.0,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,Automatic firearms,7.0,,4.0,0.0,,,1,3.0,Minor (likely < $1 million),2500.0,,0.0,0.0,,,,,PGIS,0,0,0,0,1974-06-13,6.0,3.0
197406250001,1974,6,25,0,Northern,Nahariyya,33.004219,35.092571,1.0,0,,,1,1,1,0,,,0.0,1,0,5,Hostage Taking (Barricade Incident),14,Private Citizens & Property,76.0,House/Apartment/Residence,,apartment house,97.0,Israel,Black September,,0.0,0,3.0,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,Automatic firearms,14.0,,3.0,,,,1,3.0,Minor (likely < $1 million),60000.0,,1.0,0.0,,,,,PGIS,1,1,0,1,1974-06-25,6.0,1.0
197411180003,1974,11,18,0,Northern,Beit Shean,32.496086,35.498352,1.0,0,,,1,1,1,0,,,0.0,1,0,9,Unknown,14,Private Citizens & Property,76.0,House/Apartment/Residence,,Apartment House in Beit Shean,97.0,Israel,Democratic Front for the Liberation of Palestine (DFLP),,0.0,0,3.0,,,,,,13,Unknown,,,,7.0,,3.0,5.0,,,1,3.0,Minor (likely < $1 million),2500.0,,1.0,0.0,,,,,PGIS,1,0,0,1,1974-11-18,11.0,0.0
197411300002,1974,11,30,0,Northern,Rehaniya,33.04924,35.4882,1.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,14,Private Citizens & Property,76.0,House/Apartment/Residence,,House in town,97.0,Israel,Palestinians,,0.0,0,2.0,,,,,,5,Firearms,3.0,Handgun,Pistols,1.0,,,1.0,,,1,3.0,Minor (likely < $1 million),2500.0,,1.0,0.0,,,,,PGIS,1,0,0,1,1974-11-30,11.0,5.0
197412080001,1974,12,8,0,Northern,Rosh Hanikra,33.085678,35.113181,1.0,0,,,1,1,1,0,,,0.0,1,0,2,Armed Assault,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,,Rosh Hanika Kibbutz,97.0,Israel,Palestinians,,0.0,0,3.0,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,Automatic firearm,1.0,,,2.0,,,1,3.0,Minor (likely < $1 million),2500.0,,0.0,0.0,,,,,PGIS,1,0,0,1,1974-12-08,12.0,6.0
197412110002,1974,12,11,0,Tel Aviv,Tel Aviv,32.08297,34.811886,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,1,Business,11.0,Entertainment/Cultural/Stadium/Casino,,Movie theatre,97.0,Israel,Popular Front for the Liberation of Palestine (PFLP),,0.0,0,1.0,,,,,,6,Explosives,7.0,Grenade,Grenade,2.0,,,54.0,,,1,3.0,Minor (likely < $1 million),15000.0,,0.0,0.0,,,,,PGIS,0,0,0,0,1974-12-11,12.0,2.0
197412200001,1974,12,20,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,1,Business,7.0,Retail/Grocery/Bakery,,"Ben Yehuda Street Shops, Offices",97.0,Israel,Democratic Front for the Liberation of Palestine (DFLP),,0.0,0,,,,,,,6,Explosives,16.0,Unknown Explosive Type,Explosive,0.0,,,13.0,,,1,,,,,0.0,0.0,,,,,PGIS,1,0,0,1,1974-12-20,12.0,4.0
197503050002,1975,3,5,0,Tel Aviv,Tel Aviv,32.08297,34.811886,1.0,0,,,1,1,1,0,,,0.0,1,0,5,Hostage Taking (Barricade Incident),1,Business,8.0,Hotel/Resort,,hotel,97.0,Israel,Popular Front for the Liberation of Palestine (PFLP),,0.0,0,8.0,,,,,,5,Firearms,2.0,Automatic or Semi-Automatic Rifle,Automatic firearm; Explosive,18.0,,,,,,1,3.0,Minor (likely < $1 million),20000.0,,1.0,0.0,,,,,PGIS,0,0,0,0,1975-03-05,3.0,2.0
197511130001,1975,11,13,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,14,Private Citizens & Property,74.0,Marketplace/Plaza/Square,,Zion Square,97.0,Israel,Democratic Front for the Liberation of Palestine (DFLP),,0.0,0,,,,,,,6,Explosives,16.0,Unknown Explosive Type,Explosive,6.0,,,62.0,,,1,4.0,Unknown,,,0.0,0.0,,,,,PGIS,1,0,0,1,1975-11-13,11.0,3.0
197601090002,1976,1,9,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,1,Business,7.0,Retail/Grocery/Bakery,,Supermarket,97.0,Israel,Popular Front for the Liberation of Palestine (PFLP),,0.0,0,,,,,,,6,Explosives,16.0,Unknown Explosive Type,Explosive,0.0,,,8.0,,,1,4.0,Unknown,,,0.0,0.0,,,,,PGIS,0,0,0,0,1976-01-09,1.0,4.0
197604290004,1976,4,29,0,West Bank,Jerusalem,31.784838,35.224613,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,20,Unknown,,,,Unk.,97.0,Israel,Popular Front for the Liberation of Palestine (PFLP),,0.0,0,,,,,,,6,Explosives,16.0,Unknown Explosive Type,Explosive,2.0,,,0.0,,,1,4.0,Unknown,,,0.0,0.0,,,,,PGIS,0,0,0,0,1976-04-29,4.0,3.0
197605030002,1976,5,3,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,15,Religious Figures/Institutions,,,,Israeli Remembrance Day Ceremonies,97.0,Israel,Popular Front for the Liberation of Palestine (PFLP),,0.0,0,,,,,,,6,Explosives,15.0,Vehicle,Explosive,1.0,,,31.0,,,1,4.0,Unknown,,,0.0,0.0,,,,,PGIS,0,0,0,0,1976-05-03,5.0,0.0
197704000002,1977,4,0,0,Jerusalem,Jerusalem,31.771599,35.2034,1.0,0,,,1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,19,Transportation,100.0,Train/Train Tracks/Trolley,,Rail line,97.0,Israel,Palestinians,,0.0,0,,,,,,,6,Explosives,16.0,Unknown Explosive Type,Explosives,0.0,,,0.0,,,1,3.0,Minor (likely < $1 million),2500.0,,0.0,0.0,,,,,PGIS,1,0,0,1,,,
